mois_non_declares,solde,mois_payes_spontane_dern_seg,anciennete_mois,recence_decl_mois,recence_seg_mois,ecart_mois_decl_vs_seg,regime,centre_impot,segment,activite,RISQUE_BIN
-1.0,53503.0,3.0,27.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,V,"BATIMENTS ET TRAVAUX PUBLICS : ENTREPRISES GENERALES DE BATIMENT, ENTREPRISES DE PEINTURE, D?INSTALLATIONS SANITAIRES, D?INSTALLATIONS ELECTRIQUES, DE ZINGUERIE, DE PLOMBERIE, DE VITRERIE ; CONSTRUCTION ET ENTRETIEN DES ROUTES, VOIES FERREES, CANALISATION D?EAU (OUVRAGES D?ART EXCLUS)",1.0
-1.0,63345343.0,3.0,607.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,EXTRACTION DES PRODUITS DES HYDROCARBURES ET D'AUTRES PRODUITS ENERGETIQUES,1.0
1.0,5974333.0,3.0,262.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,FAB. DIVERS DERIVES DU PETROLE c,1.0
-1.0,34462777.0,3.0,114.0,0.0,0.0,0.0,1,DIRECTION DES GRANDES ENTREPRISES,V,COMMERCE DE GROS ET DE DETAIL,1.0
1.0,24924.0,2.0,16.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
2.0,-9.0,3.0,26.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,V,COMMERCE DE GROS ET DE DETAIL,1.0
-1.0,71737.0,3.0,8.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,J,ACTIVITES FOURNIES PRINCIPALEMENT AUX ENTREPRISES,0.0
1.0,333885.0,0.0,50.0,0.0,0.0,0.0,2,CENTRE DIV IMPOTS DE DOUALA 1,R,SERV. FOURN. AUX ENTREPRISES,0.0
-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,V,COMMERCE DE GROS ET DE DETAIL,1.0
-1.0,44915.0,2.0,51.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 13,J,SERV. FOURN. AUX ENTREPRISES,1.0
-1.0,3300351.0,2.0,111.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,J,SERVICES TRAITEMENT t DONNEES,0.0
0.0,-2077.0,3.0,22.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 2,V,"FABRICATION DE MACHINES, D'APPAREILS ELECTRIQUES ET MATERIELS N.C.A",1.0
-1.0,212662.0,3.0,49.0,0.0,0.0,0.0,1,CENTRE DIV IMPOTS DE DOUALA 1,V,COMMERCE GENERAL,0.0
